title,url,tomatometer_score,audience_score,genre,rating,duration,release_date,director,original_language,box_office,distributor
Finger Laced Crown,https://www.rottentomatoes.com/m/finger_laced_crown,81.0,96.0,Drama,,1h32m,"Dec 5, 2025",Brandon C. Lay,English,,Buffalo 8
Jingle Bell Wedding,https://www.rottentomatoes.com/m/jingle_bell_wedding,,,"Holiday, Romance",,1h20m,"Dec 5, 2025",,English,,The Roku Channel
Train Dreams,https://www.rottentomatoes.com/m/train_dreams,95.0,80.0,Drama,PG-13 (Some Violence and Sexuality),1h42m,"Nov 21, 2025",Clint Bentley,English,,Netflix
One Battle After Another,https://www.rottentomatoes.com/m/one_battle_after_another,94.0,85.0,"Mystery & Thriller, Action, Comedy",R (Pervasive Language|Drug Use|Sexual Content|Violence),2h41m,"Nov 14, 2025",Paul Thomas Anderson,English,$70.5M,Warner Bros. Pictures
Bugonia,https://www.rottentomatoes.com/m/bugonia,87.0,84.0,"Comedy, Sci-Fi",R (Bloody Violent Content|Suicide|Grisly Images|Language),1h58m,"Nov 25, 2025",Yorgos Lanthimos,English,$17.4M,Focus Features
The Perfect Neighbor,https://www.rottentomatoes.com/m/the_perfect_neighbor_2025,99.0,81.0,"Documentary, Crime",R (Language),1h36m,"Oct 17, 2025",Geeta Gandbhir,English,,Netflix
Frankenstein,https://www.rottentomatoes.com/m/frankenstein_2025,85.0,94.0,"Horror, Drama, Sci-Fi",R (Grisly Images|Bloody Violence),2h29m,"Nov 7, 2025",Guillermo del Toro,English,,Netflix
After the Hunt,https://www.rottentomatoes.com/m/after_the_hunt,37.0,38.0,"Drama, Mystery & Thriller, Crime",R (Some Sexual Content|Language),2h18m,"Nov 20, 2025",Luca Guadagnino,English,$3.2M,Amazon MGM Studios
Jingle Bell Heist,https://www.rottentomatoes.com/m/jingle_bell_heist,72.0,40.0,"Comedy, Romance, Holiday",,1h36m,"Nov 26, 2025",Michael Fimognari,English,,Netflix
If I Had Legs I'd Kick You,https://www.rottentomatoes.com/m/if_i_had_legs_id_kick_you,92.0,78.0,"Mystery & Thriller, Comedy, Drama",R,1h53m,"Nov 18, 2025",Mary Bronstein,English,,A24
Caught Stealing,https://www.rottentomatoes.com/m/caught_stealing,84.0,83.0,"Mystery & Thriller, Crime, Drama",R (Pervasive Language|Brief Drug Use|Some Sexuality/Nudity|Strong Violent Content),1h47m,"Sep 30, 2025",Darren Aronofsky,English,$18.9M,Columbia Pictures
The Age of Disclosure,https://www.rottentomatoes.com/m/the_age_of_disclosure,30.0,93.0,Documentary,,1h49m,"Nov 21, 2025",Dan Farah,English,,Relentless Releasing
Zootopia,https://www.rottentomatoes.com/m/zootopia,98.0,92.0,"Kids & Family, Comedy, Adventure, Animation",PG (Rude Humor|Action|Some Thematic Elements),1h48m,"Jun 7, 2016","Byron Howard, Rich Moore",English,,Walt Disney Pictures
Wicked,https://www.rottentomatoes.com/m/wicked_2024,88.0,95.0,"Kids & Family, Musical, Fantasy, Adventure",PG (Some Scary Action|Brief Suggestive Material|Thematic Material),2h40m,"Dec 31, 2024",Jon M. Chu,English,$474.4M,Universal Pictures
Regretting You,https://www.rottentomatoes.com/m/regretting_you,27.0,85.0,"Drama, Romance",PG-13 (Teen Drug and Alcohol Use|Sexual Content|Brief Strong Language),1h56m,"Nov 25, 2025",Josh Boone,English,$48.5M,Paramount Pictures
Roofman,https://www.rottentomatoes.com/m/roofman,86.0,85.0,"Comedy, Drama, Crime",R (Language|Brief Sexuality|Nudity),2h6m,"Nov 11, 2025",Derek Cianfrance,English,$22.7M,Miramax
Weapons,https://www.rottentomatoes.com/m/weapons,93.0,85.0,"Horror, Mystery & Thriller",R,2h8m,"Sep 9, 2025",Zach Cregger,English,$151.5M,New Line Cinema
Flight Risk,https://www.rottentomatoes.com/m/flight_risk_2024,29.0,62.0,"Mystery & Thriller, Action, Drama",R (Violence and Language),1h31m,"Feb 14, 2025",Mel Gibson,English,$29.7M,Lionsgate
Champagne Problems,https://www.rottentomatoes.com/m/champagne_problems,71.0,61.0,"Holiday, Romance, Comedy",,1h39m,"Nov 19, 2025",Mark Steven Johnson,English,,Netflix
Evelyn,https://www.rottentomatoes.com/m/evelyn_2018,100.0,74.0,Documentary,,1h40m,"Sep 10, 2019",Orlando von Einsiedel,British English,,
Eddington,https://www.rottentomatoes.com/m/eddington,69.0,65.0,"Mystery & Thriller, Western, Comedy, Drama",R,2h28m,"Aug 12, 2025",Ari Aster,English,,A24
A HOUSE OF DYNAMITE,https://www.rottentomatoes.com/m/a_house_of_dynamite,75.0,77.0,"Mystery & Thriller, Drama",R,1h52m,"Oct 24, 2025",Kathryn Bigelow,English,,Netflix
Playdate,https://www.rottentomatoes.com/m/playdate_2025,20.0,59.0,"Action, Comedy",PG-13 (Some Drug References|Smoking|Sexual Material|Strong Language|Violence/Action),1h33m,"Nov 12, 2025",Luke Greenfield,English,,Prime Video
Left-Handed Girl,https://www.rottentomatoes.com/m/left_handed_girl,99.0,80.0,Drama,R (Sexual Content and Language),1h48m,"Nov 28, 2025",Shih-Ching Tsou,Chinese,,Netflix
She Rides Shotgun,https://www.rottentomatoes.com/m/she_rides_shotgun,87.0,91.0,"Action, Mystery & Thriller",R (Violence and Language),2h0m,"Aug 26, 2025",Nick Rowland,English,,Lionsgate
The Roses,https://www.rottentomatoes.com/m/the_roses,64.0,79.0,"Comedy, Drama",R (Language Throughout|Drug Content|Sexual Content),1h45m,"Oct 21, 2025",Jay Roach,English,$15.3M,Searchlight Pictures
Good Boy,https://www.rottentomatoes.com/m/good_boy_2025,91.0,82.0,"Horror, Mystery & Thriller",PG-13 (Terror|Strong Language|Bloody Images),1h13m,"Oct 24, 2025",Ben Leonberg,English,$6.6M,Independent Film Company
Good Fortune,https://www.rottentomatoes.com/m/good_fortune,78.0,81.0,"Comedy, Fantasy, Action, Drama",R (Some Drug Use|Language),1h37m,"Nov 7, 2025",Aziz Ansari,English,$16.5M,Lionsgate
The Long Walk,https://www.rottentomatoes.com/m/the_long_walk_2025,88.0,85.0,"Mystery & Thriller, Horror",R (Pervasive Language|Grisly Images|Sexual References|Strong Bloody Violence|Suicide),1h48m,"Oct 21, 2025",Francis Lawrence,English,$35.1M,Lionsgate
A Very Jonas Christmas Movie,https://www.rottentomatoes.com/m/a_very_jonas_christmas_movie,92.0,76.0,"Holiday, Comedy, Musical",,1h20m,"Nov 14, 2025",Jessica Yu,English,,Disney+
Sinners,https://www.rottentomatoes.com/m/sinners_2025,97.0,96.0,"Horror, Mystery & Thriller, Drama",R (Sexual Content|Language|Strong Bloody Violence),2h17m,"Jun 3, 2025",Ryan Coogler,English,$278.5M,Warner Bros. Pictures
Materialists,https://www.rottentomatoes.com/m/materialists,77.0,66.0,"Romance, Comedy, Drama",R (Language|Brief Sexual Material),1h56m,"Jul 22, 2025",Celine Song,English,,A24
The Holdovers,https://www.rottentomatoes.com/m/the_holdovers,97.0,92.0,"Holiday, Comedy, Drama",R (Language|Brief Sexual Material|Some Drug Use),2h13m,"Nov 28, 2023",Alexander Payne,English,$20.3M,Focus Features
The Fantastic Four: First Steps,https://www.rottentomatoes.com/m/the_fantastic_four_first_steps,86.0,90.0,"Action, Adventure, Sci-Fi, Fantasy",PG-13 (Some Language|Action/Violence),1h54m,"Sep 23, 2025",Matt Shakman,English,$274.3M,Walt Disney Pictures
Sisu,https://www.rottentomatoes.com/m/sisu_2022,94.0,88.0,"Action, War",R (Language|Gore|Strong Bloody Violence),1h31m,"May 16, 2023",Jalmari Helander,Finnish,$7.3M,Lionsgate
